component,H2O,TOP,[HOEMIM][Tf2N],Li+,Mg2+,Cl-
H2O,0,1,0.007,0,0,0
TOP,1,0,0,0.3,0,0
[HOEMIM][Tf2N],0.007,0,0,1,0,0
Li+,0,0.3,1,0,0,0.669
Mg2+,0,0,0,0,0,0
Cl-,0,0,0,0.669,0,0
