component,H2O,TOP,[HOEMIM][Tf2N],Li+,Mg2+,Cl-
H2O,0,0,0,0,0,0
TOP,0,0,0,0,0,0
[HOEMIM][Tf2N],0,0,0,0,0,0
Li+,0,0,0,0,0,0
Mg2+,0,0,0,0,0,0
Cl-,0,0,0,0,0,0
