"component","branch","source_role","temperature_K","density_kg_m3","pixel_x","pixel_y","density_uncertainty_kg_m3","temperature_uncertainty_K","source_reference","notes","source_method","source_document"
"methanol","vapor","paper_pc_saft_curve","260.0","0.0","149.0","514.617","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"methanol","vapor","paper_pc_saft_curve","300.0","0.3","149.189","473.75","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"methanol","vapor","paper_pc_saft_curve","340.0","1.6","150.006","432.883","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"methanol","vapor","paper_pc_saft_curve","380.0","5.8","152.648","392.017","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"methanol","vapor","paper_pc_saft_curve","420.0","16.5","159.379","351.15","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"methanol","vapor","paper_pc_saft_curve","460.0","41.0","174.789","310.283","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"methanol","vapor","paper_pc_saft_curve","475.0","56.0","184.224","294.958","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"methanol","liquid","paper_pc_saft_curve","260.0","823.0","666.667","514.617","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"methanol","liquid","paper_pc_saft_curve","300.0","790.0","645.91","473.75","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"methanol","liquid","paper_pc_saft_curve","340.0","752.0","622.008","432.883","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"methanol","liquid","paper_pc_saft_curve","380.0","708.0","594.332","392.017","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"methanol","liquid","paper_pc_saft_curve","420.0","654.0","560.366","351.15","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"methanol","liquid","paper_pc_saft_curve","460.0","582.0","515.078","310.283","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"methanol","liquid","paper_pc_saft_curve","475.0","548.0","493.692","294.958","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"methanol","vapor","experimental_marker","345.0","1.0","149.629","427.775","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"methanol","vapor","experimental_marker","375.0","5.0","152.145","397.125","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"methanol","vapor","experimental_marker","410.0","16.0","159.064","361.367","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"methanol","vapor","experimental_marker","450.0","44.0","176.676","320.5","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"methanol","vapor","experimental_marker","485.0","96.0","209.384","284.742","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"methanol","liquid","experimental_marker","505.0","180.0","262.22","264.308","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"methanol","liquid","experimental_marker","505.0","370.0","381.73","264.308","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"methanol","liquid","experimental_marker","486.0","495.0","460.355","283.72","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"methanol","liquid","experimental_marker","465.0","560.0","501.24","305.175","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"methanol","liquid","experimental_marker","420.0","650.0","557.85","351.15","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"methanol","liquid","experimental_marker","370.0","724.0","604.396","402.233","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"methanol","liquid","experimental_marker","320.0","782.0","640.878","453.317","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
