parameter,component_i,component_j,value,source
l_ij,*,*,0,default zero for unpublished values
k_hb_ij,*,*,0,default zero for unpublished values
k_ij,MEA-2B,H2O-2.38,-0.0420,Baygi2015 Table3
k_ij,MEA-3B,H2O-2.08,-0.0146,Baygi2015 Table3
k_ij,MEA-4C,H2O-2.28,-0.0362,Baygi2015 Table3
k_ij,MEA-2B,H2O-8.63,-0.1305,Baygi2015 Table3
k_ij,MEA-3B,H2O-1.54,-0.0520,Baygi2015 Table3
k_ij,MEA-4C,H2O-3.60,-0.1245,Baygi2015 Table3
