parameter,component_i,component_j,value,source
k_ij,*,*,0,default zero for unpublished values
k_ij,Butanol,H2O,2.94e-4*T-0.102,2022_Ascani k_ij.csv
k_ij,Cl-,K+,0.064,2022_Ascani k_ij.csv
k_ij,Cl-,NH4+,-0.566,2022_Ascani k_ij.csv
k_ij,Cl-,Na+,0.317,2022_Ascani k_ij.csv
l_ij,*,*,0,default zero for unpublished values
l_ij,Butanol,H2O,-0.0044,2022_Ascani l_ij.csv
k_hb_ij,*,*,0,default zero for unpublished values
k_hb_ij,Butanol,H2O,0.026,2022_Ascani k_hb_ij.csv
