component,m,s,e,e_assoc,vol_a,assoc_scheme,z,dielc,d_born,f_solv,MW,source
H2O,1.2047,2.7927+(10.11*exp(-0.01775*T)-1.417*exp(-0.01146*T)),353.95,2425.7,0.0451,2B,0,78.09,0,1.0,0.01801528,2024_Hubach reference dataset
TBP,10.796,3.2510,217.09,5000,0.01,2B,0,11,0,1.0,0.26632,2024_Hubach reference dataset
[emim][tcb],7.1807,3.5680,338.10,5000,0.1,2B,0,11,0,1.0,0.22605,2024_Hubach reference dataset
Li+,1,2.8449,360.00,0,1,2B,1,8,2.784,1.0,0.00694,2024_Hubach reference dataset
Cl-,1,2.7560,170.00,0,0,,-1,8,4.100,1.0,0.03545,2024_Hubach reference dataset
