component,m,s,e,e_assoc,vol_a,assoc_scheme,z,dielc,d_born,f_solv,MW,source
H2O,1.2047,2.7927,353.95,2425.7,0.0451,2B,0,78.09,0,1.5,0.01801528,2014_Held reference dataset
Methanol,1.5255,3.2300,188.90,2899.5,0.035176,2B,0,33.05,0,1.4,0.032042,2014_Held reference dataset; Gross2002 Table1 default fill
Ethanol,2.3827,3.1771,198.24,2653.4,0.032384,2B,0,24.88,0,1.6,0.046069,2014_Held reference dataset; Gross2002 Table1 default fill
Li+,1,2.8449,360,0,0,,1,8,2.784,1,0.00694,2014_Held reference dataset
Na+,1,2.8232,230,0,0,,1,8,3.445,1,0.02298,2014_Held reference dataset
K+,1,3.3417,200,0,0,,1,8,4.15,1,0.0391,2014_Held reference dataset
Cl-,1,2.756,170,0,0,,-1,8,4.1,1,0.03545,2014_Held reference dataset
Br-,1,3.0707,190,0,0,,-1,8,4.48,1,0.0799,2014_Held reference dataset
I-,1,3.6672,200,0,0,,-1,8,4.985,1,0.1269,2014_Held reference dataset
