case,composition,regime,temperature_k,n_water,n_sodium,n_chloride,volume_m3,packing_fraction,provider_status,fingerprint_match,contribution_max_abs_error,contribution_allowance,value_abs_error,value_allowance,temperature_gradient_abs_error,temperature_gradient_allowance,temperature_hessian_abs_error,temperature_hessian_allowance,pressure_abs_error_pa,pressure_allowance_pa,gradient_max_abs_error,gradient_allowance,hessian_max_abs_error,hessian_allowance,association_residual_inf,association_jacobian_condition,result
dilute_dense,dilute,dense,298.14999999999998,0.99963999999999997,0.00018000000000000001,0.00018000000000000001,2.3504480713839117e-05,0.34999999999999987,0,true,1.3322676295501878e-15,3.0000000000000001e-12,3.3306690738754696e-15,3.0000000000000001e-12,2.7755575615628914e-17,3.0000000000000001e-12,5.4210108624275222e-20,3.0000000000000001e-12,5.9604644775390625e-08,0.0114416141711427,2.9103830456733704e-11,0.30769967731087494,3.7670135498046875e-05,5111.615212389861,1.2079226507921703e-13,32.212578392921024,pass
dilute_intermediate,dilute,intermediate,298.14999999999998,0.99963999999999997,0.00018000000000000001,0.00018000000000000001,8.2265682498436902e-05,0.099999999999999978,0,true,4.4408920985006262e-16,3.0000000000000001e-12,0,1.1942584260089143e-11,6.9388939039072284e-18,3.0000000000000001e-12,1.6263032587282567e-19,3.0000000000000001e-12,2.2351741790771484e-08,0.001263911686301993,7.2759576141834259e-12,0.033990415356378534,2.384185791015625e-07,799.3738806332816,5.1514348342607263e-14,11.379005302457852,pass
dilute_gas_safe,dilute,gas_safe,298.14999999999998,0.99963999999999997,0.00018000000000000001,0.00018000000000000001,0.082265682498436896,9.9999999999999978e-05,0,true,4.3368086899420177e-19,3.0000000000000001e-12,2.2204460492503131e-16,4.2517635120166717e-12,2.1684043449710089e-19,3.0000000000000001e-12,1.0164395367051604e-20,3.0000000000000001e-12,0,2.0000000000000002e-05,5.6843418860808015e-14,0.00032129252657532662,4.7209969267214547e-10,0.011128884202049098,1.5210055437364645e-13,1.0481493615328012,pass
feed_dense,feed,dense,298.14999999999998,0.83210519045119102,0.08394740477440446,0.08394740477440446,2.1799874305826257e-05,0.34999999999999992,0,true,3.5527136788005009e-15,7.1144394328108608e-11,0,6.8375666334008235e-11,0,3.0000000000000001e-12,3.2526065174565133e-19,3.0000000000000001e-12,5.9604644775390625e-07,0.011506592434692139,2.3283064365386963e-10,0.30944713972547128,3.8623809814453125e-05,4605.7362851870839,1.3744561044859438e-13,30.637330441422332,pass
feed_intermediate,feed,intermediate,298.14999999999998,0.83210519045119102,0.08394740477440446,0.08394740477440446,7.6299560070391888e-05,0.10000000000000001,0,true,3.5527136788005009e-15,7.1144394328108608e-11,0,5.9578934368583443e-11,1.3877787807814457e-17,3.0000000000000001e-12,3.2526065174565133e-19,3.0000000000000001e-12,7.4505805969238281e-09,0.0012445118799219149,3.637978807091713e-12,0.033468695774354969,1.1920928955078125e-07,872.24100315002909,7.5717210279435676e-14,10.796087458688696,pass
feed_gas_safe,feed,gas_safe,298.14999999999998,0.83210519045119102,0.08394740477440446,0.08394740477440446,0.076299560070391889,0.0001,0,true,3.5527136788005009e-15,7.1144394328108608e-11,0,6.8232487555831484e-11,1.3877787807814457e-17,3.0000000000000001e-12,3.2526065174565133e-19,3.0000000000000001e-12,1.6007106751203537e-10,2.0000000000000002e-05,6.5725203057809267e-14,0.00030554801168869965,1.6164847238542279e-13,0.00032705479819421191,1.4876988529977098e-13,1.0433160444721943,pass
