component,m,s,e,e_assoc,vol_a,assoc_scheme,z,dielc,d_born,f_solv,MW,source
MEA-4C,4.5208,2.6574,237.6864,989.8984,0.187533,4C,0,1,0,1,0.061083,Baygi2015 Table2
MEA-3B,4.5354,2.6019,204.0438,2383.4744,0.118488,3B,0,1,0,1,0.061083,Baygi2015 Table2
MEA-2B,3.0353,3.0435,277.174,2586.3,0.037470,2B,0,1,0,1,0.061083,Baygi2015 Table2
H2O-2B,1.9599,2.362,279.42,2059.28,0.1750,2B,0,78.09,0,1.5,0.01801528,Baygi2015 Table2
H2O-4C,2.1945,2.229,141.66,1804.17,0.2039,4C,0,78.09,0,1.5,0.01801528,Baygi2015 Table2
CO2,2.0729,2.7852,169.21,0,0,,0,1,0,1,0.04401,Baygi2015 Table2
