"component","branch","source_role","temperature_K","density_kg_m3","pixel_x","pixel_y","density_uncertainty_kg_m3","temperature_uncertainty_K","source_reference","notes","source_method","source_document"
"1-nonanol","vapor","paper_pc_saft_curve","300.0","0.0","149.0","473.75","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","vapor","paper_pc_saft_curve","360.0","0.0","149.0","412.45","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","vapor","paper_pc_saft_curve","420.0","0.5","149.315","351.15","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","vapor","paper_pc_saft_curve","480.0","3.0","150.887","289.85","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","vapor","paper_pc_saft_curve","540.0","12.0","156.548","228.55","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","vapor","paper_pc_saft_curve","600.0","37.0","172.273","167.25","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","vapor","paper_pc_saft_curve","640.0","75.0","196.175","126.383","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","paper_pc_saft_curve","300.0","839.0","676.731","473.75","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","paper_pc_saft_curve","360.0","792.0","647.168","412.45","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","paper_pc_saft_curve","420.0","741.0","615.089","351.15","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","paper_pc_saft_curve","480.0","684.0","579.236","289.85","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","paper_pc_saft_curve","540.0","620.0","538.98","228.55","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","paper_pc_saft_curve","600.0","540.0","488.66","167.25","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","paper_pc_saft_curve","640.0","468.0","443.372","126.383","12.0","3.0","Gross2002 Figure1 solid PC-SAFT curve","calibrated manual curve-center extraction from retained source image","published_figure_curve_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","experimental_marker","670.0","255.0","309.395","95.733","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","experimental_marker","660.0","410.0","406.89","105.95","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","experimental_marker","645.0","445.0","428.905","121.275","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","experimental_marker","630.0","480.0","450.92","136.6","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","experimental_marker","605.0","520.0","476.08","162.142","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","experimental_marker","580.0","560.0","501.24","187.683","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","experimental_marker","550.0","600.0","526.4","218.333","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","experimental_marker","520.0","635.0","548.415","248.983","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","experimental_marker","485.0","670.0","570.43","284.742","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","experimental_marker","450.0","700.0","589.3","320.5","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","experimental_marker","415.0","730.0","608.17","356.258","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","experimental_marker","370.0","760.0","627.04","402.233","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
"1-nonanol","liquid","experimental_marker","330.0","790.0","645.91","443.1","18.0","4.0","Gross2002 Figure1 experimental marker","visible marker center retained for paper-scale overlay","published_figure_marker_trace","Gross and Sadowski 2002 Figure 1"
