component,H2O,Li+,Na+,Cl-,H+,OH-,NH4+,DES,TOPO,RLi,RNa
H2O,0,0,0,0,0,0,0,0,0,0,0
Li+,0,0,0,0,0,0,0,0,0,0,0
Na+,0,0,0,0,0,0,0,0,0,0,0
Cl-,0,0,0,0,0,0,0,0,0,0,0
H+,0,0,0,0,0,0,0,0,0,0,0
OH-,0,0,0,0,0,0,0,0,0,0,0
NH4+,0,0,0,0,0,0,0,0,0,0,0
DES,0,0,0,0,0,0,0,0,0.0623,0.0104,0.0158
TOPO,0,0,0,0,0,0,0,0.0623,0,0.0115,-0.0139
RLi,0,0,0,0,0,0,0,0.0104,0.0115,0,-0.0127
RNa,0,0,0,0,0,0,0,0.0158,-0.0139,-0.0127,0
